State ID,State Name,District ID,District Name,ST Population,District Population,ST Percentage
00,India,5000,India,104545716,1210854977,8.63
00,India,5001,Jammu & Kashmir,1493299,12541302,11.91
00,India,5002,Himachal Pradesh,392126,6864602,5.71
00,India,5003,Punjab,0,27743338,0.00
00,India,5004,Chandigarh,0,1055450,0.00
00,India,5005,Uttarakhand,291903,10086292,2.89
00,India,5006,Haryana,0,25351462,0.00
00,India,5007,Nct Of Delhi,0,16787941,0.00
00,India,5008,Rajasthan,9238534,68548437,13.48
00,India,5009,Uttar Pradesh,1134273,199812341,0.57
00,India,5010,Bihar,1336573,104099452,1.28
00,India,5011,Sikkim,206360,610577,33.80
00,India,5012,Arunachal Pradesh,951821,1383727,68.79
00,India,5013,Nagaland,1710973,1978502,86.48
00,India,5014,Manipur,1167422,2855794,40.88
00,India,5015,Mizoram,1036115,1097206,94.43
00,India,5016,Tripura,1166813,3673917,31.76
00,India,5017,Meghalaya,2555861,2966889,86.15
00,India,5018,Assam,3884371,31205576,12.45
00,India,5019,West Bengal,5296953,91276115,5.80
00,India,5020,Jharkhand,8645042,32988134,26.21
00,India,5021,Odisha,9590756,41974218,22.85
00,India,5022,Chhattisgarh,7822902,25545198,30.62
00,India,5023,Madhya Pradesh,15316784,72626809,21.09
00,India,5024,Gujarat,8917174,60439692,14.75
00,India,5025,Daman & Diu,15363,243247,6.32
00,India,5026,Dadra & Nagar Haveli,178564,343709,51.95
00,India,5027,Maharashtra,10510213,112374333,9.35
00,India,5028,Andhra Pradesh,5918073,84580777,7.00
00,India,5029,Karnataka,4248987,61095297,6.95
00,India,5030,Goa,149275,1458545,10.23
00,India,5031,Lakshadweep,61120,64473,94.80
00,India,5032,Kerala,484839,33406061,1.45
00,India,5033,Tamil Nadu,794697,72147030,1.10
00,India,5034,Puducherry,0,1247953,0.00
00,India,5035,Andaman & Nicobar Islands,28530,380581,7.50
01,Jammu & Kashmir,001,Kupwara,70352,870354,8.08
01,Jammu & Kashmir,002,Badgam,23912,753745,3.17
01,Jammu & Kashmir,003,Leh(Ladakh),95857,133487,71.81
01,Jammu & Kashmir,004,Kargil,122336,140802,86.89
01,Jammu & Kashmir,005,Punch,176101,476835,36.93
01,Jammu & Kashmir,006,Rajouri,232815,642415,36.24
01,Jammu & Kashmir,007,Kathua,53307,616435,8.65
01,Jammu & Kashmir,008,Baramula,37705,1008039,3.74
01,Jammu & Kashmir,009,Bandipore,75374,392232,19.22
01,Jammu & Kashmir,010,Srinagar,8935,1236829,0.72
01,Jammu & Kashmir,011,Ganderbal,61070,297446,20.53
01,Jammu & Kashmir,012,Pulwama,22607,560440,4.03
01,Jammu & Kashmir,013,Shupiyan,21820,266215,8.20
01,Jammu & Kashmir,014,Anantnag,116006,1078692,10.75
01,Jammu & Kashmir,015,Kulgam,26525,424483,6.25
01,Jammu & Kashmir,016,Doda,39216,409936,9.57
01,Jammu & Kashmir,017,Ramban,39772,283713,14.02
01,Jammu & Kashmir,018,Kishtwar,38149,230696,16.54
01,Jammu & Kashmir,019,Udhampur,56309,554985,10.15
01,Jammu & Kashmir,020,Reasi,88365,314667,28.08
01,Jammu & Kashmir,021,Jammu,69193,1529958,4.52
01,Jammu & Kashmir,022,Samba,17573,318898,5.51
02,Himachal Pradesh,023,Chamba,135500,519080,26.10
02,Himachal Pradesh,024,Kangra,84564,1510075,5.60
02,Himachal Pradesh,025,Lahul & Spiti,25707,31564,81.44
02,Himachal Pradesh,026,Kullu,16822,437903,3.84
02,Himachal Pradesh,027,Mandi,12787,999777,1.28
02,Himachal Pradesh,028,Hamirpur,3044,454768,0.67
02,Himachal Pradesh,029,Una,8601,521173,1.65
02,Himachal Pradesh,030,Bilaspur,10693,381956,2.80
02,Himachal Pradesh,031,Solan,25645,580320,4.42
02,Himachal Pradesh,032,Sirmaur,11262,529855,2.13
02,Himachal Pradesh,033,Shimla,8755,814010,1.08
02,Himachal Pradesh,034,Kinnaur,48746,84121,57.95
03,Punjab,035,Gurdaspur,0,2298323,0.00
03,Punjab,036,Kapurthala ,0,815168,0.00
03,Punjab,037,Jalandhar,0,2193590,0.00
03,Punjab,038,Hoshiarpur,0,1586625,0.00
03,Punjab,039,Shahid Bhagat Singh Nagar ,0,612310,0.00
03,Punjab,040,Fatehgarh Sahib,0,600163,0.00
03,Punjab,041,Ludhiana,0,3498739,0.00
03,Punjab,042,Moga,0,995746,0.00
03,Punjab,043,Firozpur,0,2029074,0.00
03,Punjab,044,Muktsar,0,901896,0.00
03,Punjab,045,Faridkot,0,617508,0.00
03,Punjab,046,Bathinda,0,1388525,0.00
03,Punjab,047,Mansa,0,769751,0.00
